,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
7541,7541,100,dataset.10547809,10.17182/hepdata.78403.v1/t5,"""Table 5"" of ""Measurements of the Higgs boson production and decay rates and constraints on its couplings from a combined ATLAS and CMS analysis of the LHC pp collision data at $ \sqrt{s}=7 $ and 8 TeV""","Best fit values of $\sigma(gg\to H\to WW)$, $\sigma_i/\sigma_{gg\mathrm{F}}$, and $\mathrm{B}^f/\mathrm{B}^{WW}$ from the combined analysis of the $\sqrt{s}$=7 and 8 TeV data. The values involving cross sections are given for $\sqrt{s}$=8 TeV, assuming the SM values for $\sigma_i(7 \mathrm{TeV})/\sigma_i(8 \mathrm{TeV})$. The results are shown for the combination of ATLAS and CMS, and also separately for each experiment, together with their total uncertainties and their breakdown into the four components described in the text. The expected uncertainties in the measurements are also shown.",HEPData,1/1/2018,2018,,pub.1047836225,https://app.dimensions.ai/details/data_set/dataset.10547809,https://www.hepdata.net/record/87117,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3019,3019,100,dataset.25047298,10.17182/hepdata.102798.v1/t17,"""Figure 8b (upper right)"" of ""Search for long-lived particles decaying to jets with displaced vertices in proton-proton collisions at $\sqrt{s}=$ 13 TeV""","Observed and expected 95% CL upper limits on the product of cross section and branching fraction squared, as a function of mass for dijet signals, for a fixed $c\tau$ of 300um in the full Run-2 data set. The top squark pair-production cross section is shown for the dijet signals.",HEPData,1/1/2021,2021,,pub.1141458064,https://app.dimensions.ai/details/data_set/dataset.25047298,https://www.hepdata.net/record/104897,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12586,12586,100,dataset.278578,10.5517/ccq4ndw,CCDC 659878: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2008,2008,"Vela, J.; Zhu, L.; Flaschenriem, C.J.; Brennessel, W.W.; Lachicotte, R.J.; Holland, P.L.",pub.1056275501,https://app.dimensions.ai/details/data_set/dataset.278578,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccq4ndw&sid=DataCite,,,,,,,,,
222,222,100,dataset.66193114,10.17182/hepdata.114361.v1/t7,"""Figure 3 b"" of ""Search for a heavy resonance decaying into a top quark and a W boson in the lepton+jets final state at $ \sqrt{s} $ = 13 TeV""","Upper limits on the production cross section times branching fraction of the B+t hypothesis at a 95% CL. Dashed colored lines show the expected limits from the l+jets and all-hadronic channels, where the latter start at resonance masses of 1.4 TeV. The observed and expected limits from the combination are shown as solid and dashed black lines, respectively. The green and yellow bands show the 68 and 95% confidence intervals on the combined expected limits.",HEPData,1/1/2022,2022,,pub.1147079954,https://app.dimensions.ai/details/data_set/dataset.66193114,https://www.hepdata.net/record/128950,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8962,8962,100,dataset.10548651,10.17182/hepdata.70879.v1/t57,"""Table 57"" of ""Measurements of t t-bar spin correlations and top quark polarization using dilepton final states in pp collisions at sqrt(s) = 8 TeV""",Statistical covariance matrix for the $6\times3$ bins of the normalized differential cross section as a function of $\cos\varphi$ and $p_\mathrm{T}^\mathrm{t\bar{t}}$.,HEPData,1/1/2016,2016,,pub.1022171317,https://app.dimensions.ai/details/data_set/dataset.10548651,https://www.hepdata.net/record/71024,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
3305,3305,100,dataset.94241188,10.1158/1078-0432.22472942.v1,"Supplementary Table 5 from Purity Independent Subtyping of Tumors (PurIST), A Clinically Robust, Single-sample Classifier for Tumor Subtyping in Pancreatic Cancer",Table S5,American Association for Cancer Research,1/1/2020,2020,Naim U. Rashid; Xianlu L. Peng; Chong Jin; Richard A. Moffitt; Keith E. Volmar; Brian A. Belt; Roheena Z. Panni; Timothy M. Nywening; Silvia G. Herrera; Kristin J. Moore; Sarah G. Hennessey; Ashley B. Morrison; Ryan Kawalerski; Apoorve Nayyar; Audrey E. Chang; Benjamin Schmidt; Hong Jin Kim; David C. Linehan; Jen Jen Yeh,pub.1122789056,https://app.dimensions.ai/details/data_set/dataset.94241188,https://aacr.figshare.com/articles/dataset/Supplementary_Table_5_from_Purity_Independent_Subtyping_of_Tumors_PurIST_A_Clinically_Robust_Single-sample_Classifier_for_Tumor_Subtyping_in_Pancreatic_Cancer/22472942,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3211 Oncology and Carcinogenesis,,Cancer,,,,Pancreatic Cancer,,
12030,12030,100,dataset.463889,10.5517/ccwlb92,CCDC 821974: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2011,2011,"Boeckman Junior, R.K.; Miller, Y.; Ryder, T.R.",pub.1056250423,https://app.dimensions.ai/details/data_set/dataset.463889,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccwlb92&sid=DataCite,,,,,,,,,
9155,9155,100,dataset.10543499,10.17182/hepdata.73192.v1/t4,"""Table 4"" of ""Measurement of long-range near-side two-particle angular correlations in pp collisions at sqrt(s) = 13 TeV""","Correlated yield obtained with the ZYAM procedure as a function of $|\Delta\Phi|$, averaged over 2 $<|\Delta\eta|<$ 4 in for 1.0 $",HEPData,1/1/2016,2016,,pub.1011249959,https://app.dimensions.ai/details/data_set/dataset.10543499,https://www.hepdata.net/record/73201,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
6896,6896,100,dataset.10560637,10.17182/hepdata.82308.v1/t8,"""Table 8"" of ""Search for new physics in dijet angular distributions using proton–proton collisions at $\sqrt{s}=$ 13 TeV and constraints on dark matter and other models""","The 95% CL upper limits on the quark coupling gq, as a function of mass, for an axialvector or vector DM mediator with gDM = 1.0 and mDM = 1 GeV.",HEPData,1/1/2018,2018,,pub.1107300993,https://app.dimensions.ai/details/data_set/dataset.10560637,https://www.hepdata.net/record/85561,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1729,1729,100,dataset.57762715,10.17182/hepdata.95926.v1/t2,"""Figure 1: 4, 5, 6 leptons"" of ""Observation of the production of three massive gauge bosons at $\sqrt{s} =$ 13 TeV""","Comparison of the observed numbers of events to the predicted yields after fitting. For the WWW and WWZ channels, the results from the BDT-based selections are used. The VVV signal is shown stacked on top of the total background. The points represent the data and the error bars show the statistical uncertainties.",HEPData,1/1/2021,2021,,pub.1131442224,https://app.dimensions.ai/details/data_set/dataset.57762715,https://www.hepdata.net/record/100783,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,,,
1533,1533,100,dataset.57770518,10.17182/hepdata.106642.v1/t4,"""Table 4"" of ""Measurements of angular distance and momentum ratio distributions in three-jet and ${\text {Z}}$ + two-jet final states in ${\text {p}}{\text {p}}$ collisions""",Three-jet events $\Delta R_{23}$ for hard radiation ($p_{\mathrm{T}3}/p_{\mathrm{T}2}$ > 0.6),HEPData,1/1/2021,2021,,pub.1141425391,https://app.dimensions.ai/details/data_set/dataset.57770518,https://www.hepdata.net/record/106646,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
6906,6906,100,dataset.10560331,10.17182/hepdata.77602.v1/t1,"""cjet xsec 5TeV"" of ""Measurements of the charm jet cross section and nuclear modification factor in pPb collisions at sqrt(s[NN]) = 5.02 TeV""",Inclusive charm-jet cross section (and fraction) in pp collisions at 5.02 TeV.,HEPData,1/1/2018,2018,,pub.1086117650,https://app.dimensions.ai/details/data_set/dataset.10560331,https://www.hepdata.net/record/85551,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7156,7156,100,dataset.10555555,10.17182/hepdata.84716.v1/t105,"""cov ecc all"" of ""Measurement of jet substructure observables in $\mathrm{t\overline{t}}$ events from proton-proton collisions at $\sqrt{s} =$ 13TeV""","Covariance matrix for $\varepsilon$ reconstructed from all particles with pt > 1 GeV, unfolded to the particle level.",HEPData,1/1/2018,2018,,pub.1110269358,https://app.dimensions.ai/details/data_set/dataset.10555555,https://www.hepdata.net/record/86341,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1715,1715,100,dataset.57766956,10.17182/hepdata.90837.v1/t4,"""Figure 7 (T5ttcc)"" of ""Search for physics beyond the standard model in events with jets and two same-sign or at least three charged leptons in proton-proton collisions at $\sqrt{s} =$ 13 TeV""","Exclusion regions at 95% CL in the $m_{\tilde{\chi}_1^0}$ versus $m_{\tilde{g}}$ plane for the T1tttt (upper left) and T5ttbbWW (upper right) models, with off-shell third-generation squarks, and the T5tttt (lower left) and T5ttcc (lower right) models, with on-shell third-generation squarks. For the T5ttbbWW model, $m_{\tilde{\chi}_1^\pm} = m_{\tilde{\chi}_1^0} + 5 GeV$, for the T5tttt model, $m_{\tilde{t}} - m_{\tilde{\chi}_1^0} = m_t$, and for the T5ttcc model, $m_{\tilde{t}} - m_{\tilde{\chi}_1^0} = 20 GeV$ and the decay proceeds through $\tilde{t} \to c \tilde{\chi}_1^0$. The right-hand side color scale indicates the excluded cross section values for a given point in the SUSY particle mass plane. The solid black curves represent the observed exclusion limits assuming the approximate-NNLO+NNLL cross sections (thick line), or their variations of $\pm 1$ standard deviations (s.d.) (thin lines). The dashed red curves show the expected limits with the corresponding $\pm 1$ s.d. and $\pm 2$ s.d. uncertainties. Excluded regions are to the left and below the limit curves.",HEPData,1/1/2021,2021,,pub.1130179321,https://app.dimensions.ai/details/data_set/dataset.57766956,https://www.hepdata.net/record/104001,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6978,6978,100,dataset.10558901,10.17182/hepdata.77606.v1/t81,"""Additional Figure 11, Observed ($-1\sigma$)"" of ""A search for new phenomena in pp collisions at $\sqrt{s} = 13\,\text {TeV} $ in final states with missing transverse momentum and at least one jet using the $\alpha _{\mathrm {T}}$ variable""","Upper limit on the cross section in the $(m_{ \tilde{ \mathrm{ t } } }, m_{\tilde{\chi}^0_1 })$ plane for the T2tt model. This line is the $-1\sigma $ observed exclusion due to theoretical uncertainties on the signal cross section.",HEPData,1/1/2018,2018,,pub.1085208136,https://app.dimensions.ai/details/data_set/dataset.10558901,https://www.hepdata.net/record/80981,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
12390,12390,100,dataset.1290840,10.5517/ccs5b08,CCDC 720099: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2010,2010,"Grochowski, M.R.; Brennessel, W.W.; Jones, W.D.",pub.1056281894,https://app.dimensions.ai/details/data_set/dataset.1290840,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccs5b08&sid=DataCite,,,,,,,,,
3292,3292,100,dataset.24988155,10.1371/journal.pbio.3000595.s028,Quantitative measurements underlying all macronutrient and lipid droplet data.,(XLSX),Public Library of Science,1/21/2020,2020,Lianna W. Wat; Charlotte Chao; Rachael Bartlett; Justin L. Buchanan; Jason W. Millington; Hui Ju Chih; Zahid S. Chowdhury; Puja Biswas; Vivian Huang; Leah J. Shin; Lin Chuan Wang; Marie-Pierre L. Gauthier; Maria C. Barone; Kristi L. Montooth; Michael A. Welte; Elizabeth J. Rideout,pub.1124219635,https://app.dimensions.ai/details/data_set/dataset.24988155,https://plos.figshare.com/articles/dataset/Quantitative_measurements_underlying_all_macronutrient_and_lipid_droplet_data_/14414875,,,,,,,,,
3390,3390,100,dataset.57761851,10.17182/hepdata.88289.v1/t22,"""Table 22"" of ""Mixed higher-order anisotropic flow and nonlinear response coefficients of charged particles in PbPb collisions at $\sqrt{s_\mathrm{NN}} =$ 2.76 and 5.02 TeV""",The overall flow harmonic $v_5\{\Psi_{5}\}$ from the scalar-product method at 5.02 TeV as a function of PT in the 0-20% centrality range.,HEPData,1/1/2020,2020,,pub.1128471687,https://app.dimensions.ai/details/data_set/dataset.57761851,https://www.hepdata.net/record/99836,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
7409,7409,100,dataset.10550262,10.17182/hepdata.79859.v1/t9,"""Table 9"" of ""Measurement of the differential cross sections for the associated production of a $W$ boson and jets in proton-proton collisions at $\sqrt{s}=13$ TeV""",The differential cross section measurement as a function of the absolute value of the rapidity of the third leading jet.,HEPData,1/1/2018,2018,,pub.1092414051,https://app.dimensions.ai/details/data_set/dataset.10550262,https://www.hepdata.net/record/80713,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12361,12361,100,dataset.1296138,10.5517/cct0wzn,CCDC 745642: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2010,2010,"Ding, Keying; Pierpont, A.W.; Brennessel, W.W.; Lukat-Rodgers, G.; Rodgers, K.R.; Cundari, T.R.; Bill, E.; Holland, P.L.",pub.1019368334,https://app.dimensions.ai/details/data_set/dataset.1296138,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cct0wzn&sid=DataCite,,,,,,,,,
11664,11664,100,dataset.1406174,10.5517/ccwmczt,CCDC 822987: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2012,2012,"Atesjn, T.A.; Kundu, S.; Skugrud, K.; Lai, K.A.; Swartz, B.D.; Li, Ting; Brennessel, W.W.; Jones, W.D.",pub.1056276790,https://app.dimensions.ai/details/data_set/dataset.1406174,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccwmczt&sid=DataCite,,,,,,,,,
2990,2990,100,dataset.25047421,10.17182/hepdata.102798.v2/t14,"""Figure 7b (right), grid of limit values"" of ""Search for long-lived particles decaying to jets with displaced vertices in proton-proton collisions at $\sqrt{s}=$ 13 TeV""","Observed 95% CL upper limits on the product of cross section and branching fraction squared for the dijet signals, as a function of mass and $c\tau$. The overlaid mass-lifetime exclusion curves assume pair-production cross sections for the top squark with 100% branching fraction to each model's respective decay mode specified. The solid black (dashed colored) lines represent the observed (median expected) limits at 95% CL. The thin black lines represent the variation of the observed limit within theoretical uncertainties of the signal cross section. The thin dashed colored lines represent the region containing 68% of the expected limit distribution under the background-only hypothesis. The observed limits from the CMS displaced jets search (CMS-EXO-19-021) are also shown in teal for comparison.",HEPData,1/1/2021,2021,,pub.1141458064,https://app.dimensions.ai/details/data_set/dataset.25047421,https://www.hepdata.net/record/104894,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
91,91,100,dataset.93805317,10.1371/journal.pone.0274809.t001,"Descriptive statistics for the motion-direction detection thresholds in the four conditions of the spatial suppression task, for the difference limina in the duration discrimination tasks (DDE, DDF), for the dispersion index in the temporal generalization task (TG), and the mean 75% difference threshold in the rhythm perception (RP) task in the sample of 273 participants.","Descriptive statistics for the motion-direction detection thresholds in the four conditions of the spatial suppression task, for the difference limina in the duration discrimination tasks (DDE, DDF), for the dispersion index in the temporal generalization task (TG), and the mean 75% difference threshold in the rhythm perception (RP) task in the sample of 273 participants.",Public Library of Science,9/19/2022,2022,Lisa M. Makowski; Thomas H. Rammsayer; Duje Tadin; Philipp Thomas; Stefan J. Troche,pub.1151118838,https://app.dimensions.ai/details/data_set/dataset.93805317,https://plos.figshare.com/articles/dataset/Descriptive_statistics_for_the_motion-direction_detection_thresholds_in_the_four_conditions_of_the_spatial_suppression_task_for_the_difference_limina_in_the_duration_discrimination_tasks_DDE_DDF_for_the_dispersion_index_in_the_temporal_gene/21156931,46 Information and Computing Sciences; 52 Psychology; 5202 Biological Psychology,,,,,,,,
4314,4314,100,dataset.7637830,10.1021/acs.joc.9b01716.s002,"Reversible Concerted
Metalation–Deprotonation
C–H Bond Activation by [Cp*RhCl<sub>2</sub>]<sub>2</sub>","The reversibility
of the concerted metalation–deprotonation
exchange of eight para-substituted phenylpyridines is examined with
the parent Cp*RhCl­(κ-C,N-NC5H4–C6H4). Equilibrium constants
are determined, and the free energies are used to extract the most
important parameters that control the thermodynamics. Keq values are found to correlate best with heterolytic
C–H bond strengths but in a way that is not obvious considering
the electrophilic nature of these activations.",American Chemical Society,9/10/2019,2019,"Andrew
I. VanderWeide; William W. Brennessel; William D. Jones",pub.1120953537,https://app.dimensions.ai/details/data_set/dataset.7637830,https://acs.figshare.com/articles/dataset/Reversible_Concerted_Metalation_Deprotonation_C_H_Bond_Activation_by_Cp_RhCl_sub_2_sub_sub_2_sub_/9884720,34 Chemical Sciences; 34 Chemical Sciences; 3402 Inorganic Chemistry,,,,,,,,
5355,5355,100,dataset.10561391,10.17182/hepdata.85696.v2/t128,"""Table 128"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Covariance matrix of normalized cross section at particle level as a function of $p_\text{T}(\text{t}_\text{h})$ vs. $M(\text{t}\bar{\text{t}})$.,HEPData,1/1/2019,2019,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10561391,https://www.hepdata.net/record/86121,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9182,9182,100,dataset.10543040,10.17182/hepdata.73121.v1/t40,"""Table 40"" of ""Forward–backward asymmetry of Drell–Yan lepton pairs in pp collisions at $\sqrt{s} = 8$ $\,\mathrm{TeV}$""","Covariance matrix of Drell-Yan AFB in electron channel for 2.40 and cos(theta)>0. The covariance matrix is built in 2 dimensions, 14x14(mass) for cos(theta), --, -+, +-, ++ combination where + means positive cos(theta) and - implies the negative cos(theta).",HEPData,1/1/2016,2016,,pub.1003343160,https://app.dimensions.ai/details/data_set/dataset.10543040,https://www.hepdata.net/record/73175,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
