,publisher,publisher_categories,keywords,title,publicationYear,author(s),researcher,tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
25,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,s cockburn,sarah n. cockburn,2,1,1,1
26,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,p hamilton,phineas t. hamilton,2,1,1,1
27,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,s perlman,steve. J perlman,3,2,2,2
28,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,j jaenike,john jaenike,4,3,3,2
29,dryad,general,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,v victoria,  victoria,1,1,1,1
30,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,r waugh,richard waugh,4,2,3,2
31,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,z peng,zhangli peng,2,1,1,1
33,dryad,general,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,c illinois,chicago university of illinois,1,1,1,1
35,university of rochester,general,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,m garcia,moriana molchanov garcia,1,1,1,1
36,university of rochester,general,"information and computing sciences, education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 46, 39",subscribe to open on the open business model continuum,2023,r crow,raym crow,1,1,1,1
38,university of rochester,general,"library and information studies, accessible computing, education, information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, anzsrc fields of research, 4610, 460801, 39, 46","""making rcls libguides more accessible""",2023,p schwartzman,pauline schwartzman,1,1,1,1
39,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,k totleben,kristen totleben,1,1,1,1
40,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","“co-mentoring: a block approach,” library leadership and management journal, v.29, no.2, p. 1-9. february 2015. doi: https://doi.org/10.5860/llm.v29i2.7122",2023,k deiss,kathryn deiss,1,1,1,1
42,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,k hoffman,kimberly davies hoffman,1,1,1,1
43,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,g garcia,  garcia,1,1,1,1
44,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,e moriana,easterly joe moriana,1,1,1,1
45,university of rochester,general,"education, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 39","“digital: digital ideas in teaching and learning” (poster) university of rochester, educational it innovation grant symposium, 2019.",2023,a adrienne,  adrienne,1,1,1,1
46,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","kristen totleben and jessica lacher- feldman. “creating a holistic fabric of services and collections from the inside out: exploring convergences of liaison and special collections librarianship.” <em>research library issues</em>, no. 291 (2017): 32–49. https://doi.org/10.29242/rli.291.4.",2023,j lacher-feldman,jessica lacher-feldman,1,1,1,1
47,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","collaborating for impact: special collections and liaison librarian partnerships. chicago: association of college and research libraries, a division of the american library association, 2016.",2023,l birrell,lori birrell,1,1,1,1
48,university of rochester,general,"creative arts and writing, language, communication and culture, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 36, 47","\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023,r prendergast,ryan prendergast,1,1,1,1
49,university of rochester,general,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,s szreter,simon szreter,2,1,1,1
50,university of rochester,general,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,k schürer,kevin schürer,2,1,1,1
51,university of rochester,general,0,(the wrong kind of ) gonorrhea in antiquity,2019,r flemming,rebecca flemming,1,1,1,1
53,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,s cardinal,susan cardinal,2,1,2,1
54,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,j jones,jeff jones,10,7,7,4
55,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,l nicosia,lara nicosia,1,1,1,1
56,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,s george,sarada george,1,1,1,1
58,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,d castillo,daniel castillo,1,1,1,1
59,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,p moriana,pugachev moriana,1,1,1,1
60,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,s sarah,siddiqui sarah,1,1,1,1
62,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,a romanowski,alois romanowski,1,1,1,1
63,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,c kanan,christopher kanan,1,1,1,1
64,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,j herington,jonathan herington,1,1,1,1
65,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,r maciel,ryan maciel,1,1,1,1
66,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,h owen,heather owen,1,1,1,1
68,root,scientific,0,testing results from pathfinder 2k x 2k hgcdte infrared detectors for the near earth object surveyor mission,2023,p eisenhardt,peter eisenhardt,1,1,1,1
69,wiley,scientific,0,"remembering vic laties (february 2, 1926 - february 3, 2020)",2021,a catania,a. charles catania,1,1,1,1
70,perimeter institute,Math/physics/computerScience,0,new perspectives on star formation and protostellar outflows. a talk in 3 acts,2007,f adam,frank adam,2,1,1,1
71,humanities commons,Social Science,"art, library science, fast, fast",the alfred stieglitz collection,2019,t stuber,tracy stuber,2,1,1,1
72,databrary,Social Science,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,e bergelson,elika bergelson,2,1,1,1
73,databrary,Social Science,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,u university,  university,2,2,2,2
74,institute of mathematical statistics,Math/physics/computerScience,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,m banerjee,moulinath banerjee,2,1,1,1
75,institute of mathematical statistics,Math/physics/computerScience,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,r samworth,richard j samworth,2,1,1,1
76,dmphub,general,0,"en-us, defining how neonatal hyperoxia causes pulmonary hypertension in adults",2023,k goss,kara goss,1,1,1,1
77,dmphub,general,0,"en-us, defining how neonatal hyperoxia causes pulmonary hypertension in adults",2023,c center,  center,2,2,2,2
78,columbia university,general,"education, neurobiology, scientists, charitable uses, trusts, and foundations--political activity, endowments"," oral history interview with susan hockfield, 2013",2018,: :unav,: :unav,1,1,1,1
79,zenodo,general,"academic libraries, users (information), design, participation, library services, library administration, library research, ethnography, observation, library facilities, use studies, qualitative research, statistical analysis, user needs (information), health sciences, administrative organization, space utilization, college students, student participation",participatory design in academic libraries: new reports and findings,2014,n foster,nancy fried foster,1,1,1,1
80,francia-recensio,Social Science,0,"jeffrey r. watt, the consistory and social discipline in calvin’s geneva, rochester, ny (university of rochester press) 2020",2023,m totzeck,markus m. totzeck,1,1,1,1
81,university of rochester,general,m music,"""richard wagners essays on conducting""",2021,c walton,christopher walton,1,1,1,1
83,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,b yantosca,bob yantosca,1,1,1,1
84,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,m sulprizio,melissa sulprizio,1,1,1,1
85,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,l lundgren,lizzie lundgren,1,1,1,1
86,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,k kelvinhb,keller kelvinhb,1,1,1,1
87,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,f christoph,fritz christoph,1,1,1,1
88,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,t thibaud,  thibaud,1,1,1,1
89,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,2 22degrees,  22degrees,1,1,1,1
90,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,d ridley,david ridley,1,1,1,1
91,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,l bindle,liam bindle,1,1,1,1
92,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,s eastham,sebastian david eastham,1,1,1,1
93,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,h michael-s-long,haipeng lin michael-s-long,1,1,1,1
94,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,d tsherwen,downs tsherwen,1,1,1,1
95,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,f will,fisher will,1,1,1,1
96,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,t jenny,thackray jenny,1,1,1,1
97,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,h colin,holmes colin,1,1,1,1
98,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,g christopher,ganluo christopher,1,1,1,1
99,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,z zhuang,  zhuang,1,1,1,1
100,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,l lee,  lee,1,1,1,1
101,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,l lei,  lei,1,1,1,1
102,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,s sciences,  sciences,1,1,1,1
103,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,u university,  university,2,2,2,2
104,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,t technology,  technology,1,1,1,1
105,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,f wollongong,florida state university university of wollongong,1,1,1,1
106,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,a asrc,  asrc,1,1,1,1
107,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,s suny-albany,  suny-albany,1,1,1,1
108,zenodo,general,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,k toffolo,kathryn toffolo,1,1,1,1
109,zenodo,general,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,e freedman,edward freedman,2,2,2,2
112,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,w baldwin,wayne e baldwin,2,1,1,1
113,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,e moore,eric moore,4,3,3,3
114,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,r r,  r,1,1,1,1
116,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,c ruppel,carolyn ruppel,2,1,1,1
121,mendeley,general,0,"""coupled dynamical systems model of non-human primates kinematic and neuronal recordings""",2022,r daleo,raina daleo,1,1,1,1
122,vivli,scientific,conditions: chronic kidney disease,chronic kidney disease in children prospective cohort study (ckid),2022,n central,niddk central,1,1,1,1
123,open science framework,scientific,"educational psychology, education, social and behavioral sciences, psychology, fos: psychology, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022,v capon-sieber,"capon-sieber, vanda",1,1,1,1
125,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,l sugarwala,"sugarwala, laura",1,1,1,1
126,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,r white," white, robert j",5,5,5,4
127,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,s steele," steele, scott j",1,1,1,1
128,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,d ossip," ossip, deborah",2,2,2,1
129,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,m zand," zand, martin s",8,7,8,4
136,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,c 2022,cogsci 2022,1,1,1,1
137,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,r zeng, ruby zeng ,1,1,1,1
138,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,q qingzhi,qingzhi,1,1,1,1
139,humanities commons,Social Science,"digital humanities, research, methodology, multispectral imaging, manuscripts, medieval, fast, fast, fast, fast, fast",recovery and loss: (multispectral) imaging and image rights,2019,h davies,"davies, helen",1,1,1,1
140,university of oxford,general,digital humanities,university of rochester,2022,u oxford,university of oxford,1,1,1,1
141,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,b navarro-dominguez,"navarro-dominguez, beatriz",1,1,1,1
142,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,c chang," chang, ching-ho",8,4,7,6
143,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,c brand," brand, cara",2,2,2,2
144,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,c muirhead," muirhead, christina",3,3,3,2
145,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,d presgraves," presgraves, daven",5,5,5,2
146,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,a larracuente," larracuente, amanda",7,4,6,5
152,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,r ruiz,"ruiz, raquel",1,1,1,1
153,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,a schwartz," schwartz, ann",1,1,1,1
154,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,r lackey," lackey, russell",1,1,1,1
155,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,t long," long, teresa",1,1,1,1
156,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,a dozier," dozier, ann",3,2,3,2
157,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,d ossip," ossip, deborah",2,2,2,1
158,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,m zand," zand, martin s.",8,7,8,4
167,zenodo,general,spnhc2022,"""19th century taxonomy and the invisible skeleton of the ward project and wards natural science establishment""",2022,r minckley,"minckley, robert",2,2,2,2
168,zenodo,general,spnhc2022,"""19th century taxonomy and the invisible skeleton of the ward project and wards natural science establishment""",2022,m mead," mead, melissa",1,1,1,1
169,zenodo,general,spnhc2022,"""19th century taxonomy and the invisible skeleton of the ward project and wards natural science establishment""",2022,j romphf," romphf, joshua",1,1,1,1
173,humboldt-universität zu berlin,general,"brain, mind, neuroscience, history, technology, 900 geschichte, geografie und hilfswissenschaften, de, http://dewey.info/, dewey",the history of the brain and mind sciences,2019,a freeborn,"freeborn, alfred",1,1,1,1
174,arxiv,Math/physics/computerScience,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,m weiss,"weiss, matthew l.",1,1,1,1
175,arxiv,Math/physics/computerScience,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,n frey," frey, nathan c.",1,1,1,1
176,arxiv,Math/physics/computerScience,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,s samsi," samsi, siddharth",1,1,1,1
177,arxiv,Math/physics/computerScience,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,r paffenroth," paffenroth, randy c.",1,1,1,1
178,arxiv,Math/physics/computerScience,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,v gadepally," gadepally, vijay ",1,1,1,1
179,zenodo,general,"singing performance, music source separation, audiovisual scene analysis",university of rochester audio-visual solo singing performance (ursing) dataset,2022,b li,"li, bochen",8,5,5,4
