author(s),publisher,keywords,title,publicationYear,publisher_categories
daniel castillo;pugachev moriana;siddiqui sarah;  https://orcid.org/0000-0003-3406-9818,university of rochester,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,general
alois romanowski;christopher kanan;jonathan herington;ryan maciel;heather owen;  https://orcid.org/0000-0002-9507-8331,university of rochester,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,general
peter eisenhardt,root,0,testing results from pathfinder 2k x 2k hgcdte infrared detectors for the near earth object surveyor mission,2023,scientific
a. charles catania,wiley,0,"remembering vic laties (february 2, 1926 - february 3, 2020)",2021,scientific
frank adam,perimeter institute,0,new perspectives on star formation and protostellar outflows. a talk in 3 acts,2007,Math/physics/computerScience
tracy stuber,humanities commons,"art, library science, fast, fast",the alfred stieglitz collection,2019,Social Science
elika bergelson;  university,databrary,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,Social Science
moulinath banerjee;richard j samworth,institute of mathematical statistics,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,Math/physics/computerScience
kara goss;  center,dmphub,0,"en-us, defining how neonatal hyperoxia causes pulmonary hypertension in adults",2023,general
: :unav,columbia university,"education, neurobiology, scientists, charitable uses, trusts, and foundations--political activity, endowments"," oral history interview with susan hockfield, 2013",2018,general
nancy fried foster,zenodo,"academic libraries, users (information), design, participation, library services, library administration, library research, ethnography, observation, library facilities, use studies, qualitative research, statistical analysis, user needs (information), health sciences, administrative organization, space utilization, college students, student participation",participatory design in academic libraries: new reports and findings,2014,general
markus m. totzeck,francia-recensio,0,"jeffrey r. watt, the consistory and social discipline in calvin’s geneva, rochester, ny (university of rochester press) 2020",2023,Social Science
christopher walton,university of rochester,m music,"""richard wagners essays on conducting""",2021,general
u rochester,sesar,0,0,2010,geology/environment
bob yantosca;melissa sulprizio;lizzie lundgren;keller kelvinhb;fritz christoph;  thibaud;  22degrees;david ridley;liam bindle;sebastian david eastham;haipeng lin michael-s-long;downs tsherwen;fisher will;thackray jenny;holmes colin;ganluo christopher;  zhuang;  lee;  lei;  sciences;  university;  technology;florida state university university of wollongong;  asrc;  suny-albany,zenodo,0,geoschem/geos-chem: geos-chem 13.1.2,2022,general
kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,zenodo,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,general
wayne e baldwin;eric moore;  r;  r;carolyn ruppel;  https://orcid.org/0000-0001-5886-0917;  https://orcid.org/0000-0002-2732-2654;  https://orcid.org/0000-0003-4593-4395;  https://orcid.org/0000-0003-2284-6632,u.s. geological survey,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,geology/environment
raina daleo,mendeley,0,"""coupled dynamical systems model of non-human primates kinematic and neuronal recordings""",2022,general
niddk central,vivli,conditions: chronic kidney disease,chronic kidney disease in children prospective cohort study (ckid),2022,scientific
"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",open science framework,"educational psychology, education, social and behavioral sciences, psychology, fos: psychology, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022,scientific
"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",zenodo,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,general
cogsci 2022; ruby zeng ;qingzhi,underline science inc.,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,scientific
"davies, helen",humanities commons,"digital humanities, research, methodology, multispectral imaging, manuscripts, medieval, fast, fast, fast, fast, fast",recovery and loss: (multispectral) imaging and image rights,2019,Social Science
university of oxford,university of oxford,digital humanities,university of rochester,2022,general
"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686",zenodo,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,general
"ruiz, raquel; schwartz, ann; lackey, russell; long, teresa; dozier, ann; ossip, deborah; zand, martin s.; university of rochester; https://orcid.org/0000-0003-2275-0059;  https://orcid.org/0000-0002-3223-4405; https://orcid.org/0000-0001-5641-9810; https://orcid.org/0000-0001-8853-2164; https://orcid.org/0000-0001-8296-1910; https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",zenodo,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,general
"minckley, robert; mead, melissa; romphf, joshua; university of rochester;  https://orcid.org/0000-0002-1217-7693; https://orcid.org/0000-0003-2924-3076",zenodo,spnhc2022,"""19th century taxonomy and the invisible skeleton of the ward project and wards natural science establishment""",2022,general
"freeborn, alfred",humboldt-universität zu berlin,"brain, mind, neuroscience, history, technology, 900 geschichte, geografie und hilfswissenschaften, de, http://dewey.info/, dewey",the history of the brain and mind sciences,2019,general
"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",arxiv,"  signal processing (eess.sp), machine learning (cs.lg), fos: electrical engineering, electronic engineering, information engineering, fos: electrical engineering, electronic engineering, information engineering, fos: computer and information sciences, fos: computer and information sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,Math/physics/computerScience
"li, bochen; yuxuan wang; duan, zhiyao; university of rochester;, https://orcid.org/0000-0002-8304-6973; https://orcid.org/0000-0002-8334-9974",zenodo,"singing performance, music source separation, audiovisual scene analysis",university of rochester audio-visual solo singing performance (ursing) dataset,2022,general
"lee, jennifer",columbia university,music, ulysses kay archive: columbia university rare book and manuscript library,2012,general
"brunelli, j. c.; das, a. ",arxiv," high energy physics - theory (hep-th), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",the supersymmetric two boson hierarchies,1994,Math/physics/computerScience
"fry, julie; department of physics,astronomy,department of chemistry, university of rochester, ny",arxiv,"  physics education (physics.ed-ph), physics and society (physics.soc-ph), fos: physical sciences, fos: physical sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",winning over future scientists,1999,Math/physics/computerScience
"ferree, t. c.; koltun, d. s.",arxiv," nuclear theory (nucl-th), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf","inelastic nucleon contributions in $(e,e^\\\\prime)$ nuclear response functions",1995,Math/physics/computerScience
"ahmady, m. r.; chishtie, f. a.; elias, v.; steele, t. g. ",arxiv," high energy physics - phenomenology (hep-ph), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",reducing the theoretical uncertainty in extracting |v_{ub}| from the inclusive semileptonic b to u decay rate,2000,Math/physics/computerScience
"chishtie, f. a.; elias, v.; steele, t. g. ",arxiv," high energy physics - phenomenology (hep-ph), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",next-order estimate of higgs to two-gluon rate,2000,Math/physics/computerScience
"cline, james m.; mcgill university",arxiv,"en, high energy physics - phenomenology (hep-ph), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",creating matter at the electroweak phase transition,1995,Math/physics/computerScience
"doncheski, michael a.; carleton university",arxiv," high energy physics - phenomenology (hep-ph), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",fragmentation production of heavy quark states,1995,Math/physics/computerScience
"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h.",arxiv,"   physics education (physics.ed-ph), high energy physics - experiment (hep-ex), instrumentation and detectors (physics.ins-det), fos: physical sciences, fos: physical sciences, arxiv, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",a study of an acrylic cerenkov radiation detector,1999,Math/physics/computerScience
"voloshina, maria s.",arxiv,"   group theory (math.gr), algebraic topology (math.at), fos: mathematics, fos: mathematics, 20j06 (primary); 20e22, 20j15, 20g40, 20g10, 18g05, 18g40 (secondary), arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), msc, http://www.oecd.org/science/inno/38235147.pdf",on the holomorph of a discrete group,2003,Math/physics/computerScience
"bhandari, rajendra",arxiv,"  optics (physics.optics), quantum physics (quant-ph), fos: physical sciences, fos: physical sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",nonachromaticity and reversals of topological phase as a function of wavelength,2003,Math/physics/computerScience
"krishnaswami, govind s.,",arxiv," high energy physics - theory (hep-th), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",large-n limit as a classical limit: baryon in two-dimensional qcd and multi-matrix models,2004,Math/physics/computerScience
"donelan-mccall, nancy;  university of colorado",icpsr,"  infant mortality, maternal mortality", extending the analysis of nurse family partnership on maternal and child mortality,2022,Social Science
"kowarz, marek w.",arxiv,"  optics (physics.optics), computational physics (physics.comp-ph), fos: physical sciences, fos: physical sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",diffraction effects in the near field,2006,Math/physics/computerScience
"mezzadri, francesco",arxiv,"   mathematical physics (math-ph), numerical analysis (math.na), fos: physical sciences, fos: physical sciences, fos: mathematics, fos: mathematics, 1502,15a52, 65f25, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), fields of science and technology (fos), msc, http://www.oecd.org/science/inno/38235147.pdf, http://www.oecd.org/science/inno/38235147.pdf",how to generate random matrices from the classical compact groups,2006,Math/physics/computerScience
"giacomelli, g.",arxiv,"  history and philosophy of physics (physics.hist-ph), high energy physics - experiment (hep-ex), fos: physical sciences, fos: physical sciences, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",early work on pion-nucleon scattering at rochester,2012,Math/physics/computerScience
"mcmurtry, craig; lee, donald; beletic, james; chen, chi-yi a.; demers, richard t.; dorn, meghan; edwall, dennis; fazar, candice bacon; forrest, william j.; liu, fengchuan; mainzer, amanda k.; pipher, judith l.; yulius, aristo",arxiv," instrumentation and methods for astrophysics (astro-ph.im), fos: physical sciences, fos: physical sciences, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",development of sensitive long-wave infrared detector arrays for passively cooled space missions,2013,Math/physics/computerScience
"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.; nan, s.; pakianathan, j.; petridis, g.; mena, c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c.",arxiv,"    classical analysis and odes (math.ca), combinatorics (math.co), number theory (math.nt), fos: mathematics, fos: mathematics, 46s10, 52c22, 05d99, arxiv, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), msc, http://www.oecd.org/science/inno/38235147.pdf",tiling sets and spectral sets over finite fields,2015,Math/physics/computerScience
"haselkorn, tamara s.; cockburn, sarah n.; hamilton, phineas t.; perlman, steve. J; jaenike, john; university of rochester; university of victoria",dryad,symbiosis,data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,general
"waugh, richard; peng, zhangli; university of rochester; university of illinois, chicago; https://orcid.org/0000-0003-2084-5740",dryad,0,constitutive model of erythrocyte membranes with distributions of spectrin orientations and lengths - pipette aspiration data and matlab code,2020,general
"szreter, simon; schürer, kevin ",university of rochester,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,general
"cardinal, susan; siddiqui, sarah; tennis, allegra;  university of rochester; https://orcid.org/0000-0002-0964-8853",university of rochester,"education, information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 39, 46","\\,  the classroom for pltl workshop leaders",2023,general
"adam, frank; university of rochester",perimeter institute,0,new perspectives on star formation and protostellar outflows. a talk in 3 acts,2007,Math/physics/computerScience
"stuber, tracy",humanities commons,"art, library science, fast, fast",the alfred stieglitz collection,2019,Social Science
"bergelson, elika; duke university",databrary,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,Social Science
"banerjee, moulinath; samworth, richard j moulinath",institute of mathematical statistics,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,Math/physics/computerScience
"baldwin, wayne e; moore, eric; worley, charles r; nichols, alexander r; ruppel, carolyn; , https://orcid.org/0000-0001-5886-0917; https://orcid.org/0000-0002-2732-2654; https://orcid.org/0000-0003-4593-4395; https://orcid.org/0000-0003-2284-6632",u.s. geological survey,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,geology/environment
"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h. ",arxiv,"   physics education (physics.ed-ph), high energy physics - experiment (hep-ex), instrumentation and detectors (physics.ins-det), fos: physical sciences, fos: physical sciences, arxiv, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",a study of an acrylic cerenkov radiation detector,1999,Math/physics/computerScience
"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.;  pakianathan, j.; petridis, g. mena; c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c. ",arxiv,"    classical analysis and odes (math.ca), combinatorics (math.co), number theory (math.nt), fos: mathematics, fos: mathematics, 46s10, 52c22, 05d99, arxiv, arxiv, arxiv, fields of science and technology (fos), fields of science and technology (fos), msc, http://www.oecd.org/science/inno/38235147.pdf",tiling sets and spectral sets over finite fields,2015,Math/physics/computerScience
vasilii petrenko,arctic,"carbon-14,ice core,greenland,summit,firn,firn air,carbon monoxide,methane,carbon dioxide,cosmogenic,air content",greenland summit 14c and close-off studies,2017,geology/environment
john tarduno,arctic,"arctic,paleoclimate,ornithurine,cretaceous,evolution",a large ornithurine bird (tingmiatornis arctica) from the turonian high arctic: climatic and evolutionary implications,2018,geology/environment
"haselkorn, tamara s.",dryad,"adaptation,symbiosis",all data,2012,general
john kessler,arctic,"arctic ocean,methane,earth science,oceans,ocean chemistry,radiocarbon,stable isotopes","beaufort sea methane data, 2015",2017,geology/environment
0,neuroverse,0,als focus wave 2 - what matters most survey,2021,medical/health
"peters, brett; reis, harry; jamieson, j.",odum harvested  dataverse,0,"examining the physiological, cognitive, and physiological effects of capitalizing on good news that is relationship threatening, 2016",2020,Social Science
"peters, brett; jamieson, jeremy",odum harvested  dataverse,0,"examining the physiological, cognitive, and physiological effects of experimentally manipulated suppression in the lab, 2014",2020,Social Science
daxiang na; jingyuan zhang; holly j. beaulac; dorota piekna-przybylska; paige r. nicklas; amy e. kiernan; patricia m. white,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 42 health sciences; 42 health sciences; 4201 allied health and rehabilitation science,data_sheet_2_increased central auditory gain in 5xfad alzheimer’s disease mice as an early biomarker candidate for alzheimer’s disease diagnosis.pdf,2023,scientific
ruthmarie hernández-torres; marijulie martínez lozano; irma torres; ernesto rosario-hernández; alíxida ramos-pibernus; ana soto; luisa ortiz; franco mascayano; eliut rivera-segarra,public library of science,32 biomedical and clinical sciences; 3202 clinical sciences; 52 psychology,"demographic characteristics, resilience and depression symptomatology levels.",2023,scientific
richard e. waugh; elena lomakina; andrea amitrano; minsoo kim,frontiers,32 biomedical and clinical sciences; 40 engineering; 4003 biomedical engineering,datasheet1_activation effects on the physical characteristics of t lymphocytes.pdf,2023,scientific
makenna y. cealie; james c. douglas; linh h. d. le; erik d. vonkaenel; matthew n. mccall; paul d. drew; ania k. majewska,frontiers,32 biomedical and clinical sciences; 52 psychology; 52 psychology; 5202 biological psychology,"data_sheet_1_developmental ethanol exposure has minimal impact on cerebellar microglial dynamics, morphology, and interactions with purkinje cells during adolescence.pdf",2023,scientific
mehrose ahmad; hannah prensky; anne-catrin uhlemann; angela gomez-simmonds; beth traxler; abhyudai singh; allison lopatkin; shahd elnaggar; jacqueline balestrieri,springer nature,31 biological sciences; 31 biological sciences; 3107 microbiology,tradeoff between lag time and growth rate drives the plasmid acquisition cost,2023,geology/environment
xiao xiong; christopher j. geden; dan t. bergstralh; roxie l. white; john h. werren; xu wang,frontiers,31 biological sciences; 31 biological sciences; 3105 genetics,data_sheet_2_new insights into the genome and transmission of the microsporidian pathogen nosema muscidifuracis.pdf,2023,scientific
yang lu; liping shen; yue zheng; haichen zhang; yanbo liu; ming qi; shangzhi huang; bo shen,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,table1_a chinese family with cat eye syndrome and abnormality of eye movement: first case report.docx,2023,scientific
"mukta
g. palshikar; xiaojun min; alexander crystal; jiayue meng; shannon p. hilchey; martin s. zand; juilee thakar",american chemical society,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology,"executable network
models of integrated multiomics
data",2023,scientific
s. danial ahmad; mujdat cetin; richard e. waugh; james l. mcgrath,frontiers,40 engineering; 40 engineering; 4003 biomedical engineering,datasheet_1_a computer vision approach for analyzing label free leukocyte trafficking dynamics on a microvascular mimetic.docx,2023,scientific
baixue xiao; yuxuan liu; indika chandrasiri; clyde overby; danielle s. w. benoit,american chemical society,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3206 medical biotechnology; 40 engineering; 4018 nanotechnology,"impact of nanoparticle
physicochemical properties
on protein corona and macrophage polarization",2023,scientific
raven m. osborn; justin leach; michelle zanche; john m. ashton; chinyi chu; juilee thakar; stephen dewhurst; sonia rosenberger; martin pavelka; gloria s. pryhuber; thomas j. mariani; christopher s. anderson,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,cell quality data for all trials.,2023,scientific
jason p. sidrak; syler r. blaakman; elijah w. hale,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 42 health sciences; 52 psychology; 5202 biological psychology,table1_fracture rates by medication type in attention-deficit/hyperactive disorder.xlsx,2023,scientific
melhaney reichelt; john patrick cullen; sara mayer-fried; holly ann russell; nancy m. bennett; reza yousefi-nooraie,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 42 health sciences; 42 health sciences; 4203 health services and systems,table_1_addressing covid-19 vaccine hesitancy in rural communities: a case study in engaging trusted messengers to pivot and plan.xlsx,2023,scientific
michael deffner; marc philipp weise; haitao zhang; maike mücke; jonny proppe; ignacio franco; carmen herrmann,american chemical society,34 chemical sciences; 34 chemical sciences; 3407 theoretical and computational chemistry,"learning conductance:
gaussian process regression
for molecular electronics",2023,scientific
dorota piekna-przybylska; daxiang na; jingyuan zhang; cameron baker; john m. ashton; patricia m. white,frontiers,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences,table_6_single cell rna sequencing analysis of mouse cochlear supporting cell transcriptomes with activated erbb2 receptor indicates a cell-specific response that promotes cd44 activation.xlsx,2023,scientific
karen albert,sage journals,44 human society; 44 human society; 4408 political science,sj-csv-3-cmp-10.1177_07388942221147508 - supplemental material for rebel institutions and negotiated peace,2023,scientific
0,hepdata,51 physical sciences; 51 physical sciences; 5106 nuclear and plasma physics; 5107 particle and high energy physics,"""table 1"" of ""high precision measurements of z boson production in pbpb collisions at $\sqrt{s_\mathrm{nn}} =$ 5.02 tev""",2023,Math/physics/computerScience
"nachtigall, olaf; vanderweide, andrew i.; brennessel, william. w.; jones, william d.",the cambridge structural database,0,ccdc 2061239: experimental crystal structure determination,2023,scientific
ashkan ertefaie; james r. mckay; david oslin; robert l. strawderman,taylor & francis group,49 mathematical sciences; 49 mathematical sciences; 4905 statistics,robust q-learning,2022,Math/physics/computerScience
"lauren
e. wenger; nicholas m. shawver; william w. brennessel; brian k. long; timothy p. hanusa",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"heteroleptic aluminum allyls as initiators for lactide
polymerization",2022,scientific
tina lüdecke; jennifer n. leichliter; vera aldeias; marion k. bamford; dora biro; david r. braun; cristian capelli; jonathan d. cybulski; nicolas n. duprey; maria j. ferreira da silva; alan d. foreman; jörg m. habermann; gerald h. haug; felipe i. martínez; jacinto mathe; andreas mulch; daniel m. sigman; hubert vonhof; rené bobe; susana carvalho; alfredo martínez-garcía,frontiers,31 biological sciences; 31 biological sciences; 3103 ecology; 37 earth sciences; 37 earth sciences; 3702 climate change science; 3709 physical geography and environmental geoscience,"data_sheet_2_carbon, nitrogen, and oxygen stable isotopes in modern tooth enamel: a case study from gorongosa national park, central mozambique.xlsx",2022,scientific
yousof khairy; deniz naghibi; ahmad moosavi; mehran sardareh; saber azami-aghdash,springer nature,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,"additional file 5 of prevalence of hypertension and associated risks in hospitalized patients with covid-19: a meta-analysis of meta-analyses with 1468 studies and 1,281,510 patients",2022,geology/environment
d. luke fischer; peggy auinger; john l. goudreau; katrina l. paumier; allyson cole-strauss; christopher j. kemp; jack w. lipton; caryl e. sortwell,frontiers,31 biological sciences; 31 biological sciences; 3105 genetics; 32 biomedical and clinical sciences,"table_1_bdnf rs10501087, rs1491850 and rs11030094 polymorphisms associated with delayed progression in early-stage parkinsons disease.docx",2022,scientific
leonardo campagna; ziyi mo; adam siepel; j. albert c. uy,public library of science,0,s1 data -,2022,scientific
