,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
46,university of rochester,general,jessica lacher-feldman,"kristen totleben and jessica lacher- feldman. “creating a holistic fabric of services and collections from the inside out: exploring convergences of liaison and special collections librarianship.” <em>research library issues</em>, no. 291 (2017): 32–49. https://doi.org/10.29242/rli.291.4.",2023,information and computing sciences,4,1,4,1
49,university of rochester,general,jessica lacher-feldman,"kristen totleben and jessica lacher- feldman. “creating a holistic fabric of services and collections from the inside out: exploring convergences of liaison and special collections librarianship.” <em>research library issues</em>, no. 291 (2017): 32–49. https://doi.org/10.29242/rli.291.4.",2023, 46,5,1,5,1
50,university of rochester,general,lori birrell,"collaborating for impact: special collections and liaison librarian partnerships. chicago: association of college and research libraries, a division of the american library association, 2016.",2023,library and information studies,3,1,3,1
54,university of rochester,general,ryan prendergast,"\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023,creative arts and writing,1,1,1,1
55,university of rochester,general,ryan prendergast,"\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023, language,1,1,1,1
56,university of rochester,general,ryan prendergast,"\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023, communication and culture,7,5,7,3
61,university of rochester,general,ryan prendergast,"\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023, 36,1,1,1,1
62,university of rochester,general,ryan prendergast,"\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023, 47,1,1,1,1
65,university of rochester,general,susan cardinal;jeff jones;lara nicosia;sarada george;  https://orcid.org/0000-0003-3281-890x,"""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,information and computing sciences,4,1,4,1
68,university of rochester,general,susan cardinal;jeff jones;lara nicosia;sarada george;  https://orcid.org/0000-0003-3281-890x,"""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023, 46,5,1,5,1
69,university of rochester,general,daniel castillo;pugachev moriana;siddiqui sarah;  https://orcid.org/0000-0003-3406-9818,supporting big data research at the university of rochester: an ithaka s+r local report,2023,education,4,2,4,2
70,university of rochester,general,daniel castillo;pugachev moriana;siddiqui sarah;  https://orcid.org/0000-0003-3406-9818,supporting big data research at the university of rochester: an ithaka s+r local report,2023, information and computing sciences,3,1,3,1
71,university of rochester,general,alois romanowski;christopher kanan;jonathan herington;ryan maciel;heather owen;  https://orcid.org/0000-0002-9507-8331,ai art - ethics and data round table,2023,information and computing sciences,4,1,4,1
72,university of rochester,general,alois romanowski;christopher kanan;jonathan herington;ryan maciel;heather owen;  https://orcid.org/0000-0002-9507-8331,ai art - ethics and data round table,2023, machine learning,1,1,1,1
73,university of rochester,general,alois romanowski;christopher kanan;jonathan herington;ryan maciel;heather owen;  https://orcid.org/0000-0002-9507-8331,ai art - ethics and data round table,2023, adversarial machine learning,1,1,1,1
74,university of rochester,general,alois romanowski;christopher kanan;jonathan herington;ryan maciel;heather owen;  https://orcid.org/0000-0002-9507-8331,ai art - ethics and data round table,2023, ethical use of new technology,1,1,1,1
78,humanities commons,Social Science,tracy stuber,the alfred stieglitz collection,2019,art,2,1,2,1
79,humanities commons,Social Science,tracy stuber,the alfred stieglitz collection,2019, library science,2,1,2,1
80,humanities commons,Social Science,tracy stuber,the alfred stieglitz collection,2019, fast,3,1,3,1
82,databrary,Social Science,elika bergelson;  university,seedlings 6 month,2017,lexicon,2,1,2,1
83,databrary,Social Science,elika bergelson;  university,seedlings 6 month,2017, environmental effects,2,1,2,1
85,databrary,Social Science,elika bergelson;  university,seedlings 6 month,2017, word learning,2,1,2,1
86,databrary,Social Science,elika bergelson;  university,seedlings 6 month,2017, language acquisition,2,1,2,1
87,institute of mathematical statistics,Math/physics/computerScience,moulinath banerjee;richard j samworth,a conversation with jon wellner,2018,conversation,2,1,2,1
88,institute of mathematical statistics,Math/physics/computerScience,moulinath banerjee;richard j samworth,a conversation with jon wellner,2018, empirical processes,2,1,2,1
89,institute of mathematical statistics,Math/physics/computerScience,moulinath banerjee;richard j samworth,a conversation with jon wellner,2018, semiparametric theory,2,1,2,1
90,institute of mathematical statistics,Math/physics/computerScience,moulinath banerjee;richard j samworth,a conversation with jon wellner,2018, shape-constrained inference,2,1,2,1
91,institute of mathematical statistics,Math/physics/computerScience,moulinath banerjee;richard j samworth,a conversation with jon wellner,2018, university of washington,2,1,2,1
93,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018,education,4,2,4,2
94,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018, neurobiology,1,1,1,1
95,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018, scientists,1,1,1,1
96,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018, charitable uses,1,1,1,1
98,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018, and foundations--political activity,1,1,1,1
99,columbia university,general,: :unav," oral history interview with susan hockfield, 2013",2018, endowments,1,1,1,1
101,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, users (information),1,1,1,1
103,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, participation,1,1,1,1
104,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, library services,1,1,1,1
105,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, library administration,1,1,1,1
107,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, ethnography,1,1,1,1
108,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, observation,1,1,1,1
109,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, library facilities,1,1,1,1
110,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, use studies,1,1,1,1
112,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, statistical analysis,1,1,1,1
113,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, user needs (information),1,1,1,1
114,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, health sciences,1,1,1,1
115,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, administrative organization,1,1,1,1
116,zenodo,general,nancy fried foster,participatory design in academic libraries: new reports and findings,2014, space utilization,1,1,1,1
120,university of rochester,general,christopher walton,"""richard wagners essays on conducting""",2021,m music,1,1,1,1
126,zenodo,general,kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023, auditory presentation,1,1,1,1
127,zenodo,general,kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023, dataset,1,1,1,1
128,zenodo,general,kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023, language comprehension,1,1,1,1
129,zenodo,general,kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023, semantic processing,1,1,1,1
132,zenodo,general,kathryn toffolo;edward freedman;john university of rochester foxe;  https://orcid.org/0000-0002-5728-3174,evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023, neuroscience,2,2,2,2
133,u.s. geological survey,geology/environment,wayne e baldwin;eric moore;  r;  r;carolyn ruppel;  https://orcid.org/0000-0001-5886-0917;  https://orcid.org/0000-0002-2732-2654;  https://orcid.org/0000-0003-4593-4395;  https://orcid.org/0000-0003-2284-6632,marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,energy resources,2,1,2,1
134,u.s. geological survey,geology/environment,wayne e baldwin;eric moore;  r;  r;carolyn ruppel;  https://orcid.org/0000-0001-5886-0917;  https://orcid.org/0000-0002-2732-2654;  https://orcid.org/0000-0003-4593-4395;  https://orcid.org/0000-0003-2284-6632,marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020, geophysics,2,1,2,1
135,u.s. geological survey,geology/environment,wayne e baldwin;eric moore;  r;  r;carolyn ruppel;  https://orcid.org/0000-0001-5886-0917;  https://orcid.org/0000-0002-2732-2654;  https://orcid.org/0000-0003-4593-4395;  https://orcid.org/0000-0003-2284-6632,marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020, marine geology,2,1,2,1
136,u.s. geological survey,geology/environment,wayne e baldwin;eric moore;  r;  r;carolyn ruppel;  https://orcid.org/0000-0001-5886-0917;  https://orcid.org/0000-0002-2732-2654;  https://orcid.org/0000-0003-4593-4395;  https://orcid.org/0000-0003-2284-6632,marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020, stratigraphy,2,1,2,1
138,vivli,scientific,niddk central,chronic kidney disease in children prospective cohort study (ckid),2022,conditions: chronic kidney disease,1,1,1,1
139,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022,educational psychology,1,1,1,1
140,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, education,3,2,3,2
141,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, social and behavioral sciences,1,1,1,1
142,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, psychology,1,1,1,1
143,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, fos: psychology,1,1,1,1
144,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, bepress digital commons three-tiered taxonomy,1,1,1,1
148,open science framework,scientific,"capon-sieber, vanda; https://orcid.org/0000-0002-3148-0954",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, fields of science and technology (fos),20,12,20,2
151,zenodo,general,"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",clic un-meeting event guide,2019, un-meeting,1,1,1,1
153,zenodo,general,"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",clic un-meeting event guide,2019, team science,1,1,1,1
155,zenodo,general,"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",clic un-meeting event guide,2019, un-conference,1,1,1,1
156,zenodo,general,"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",clic un-meeting event guide,2019, unmeeting,1,1,1,1
157,zenodo,general,"sugarwala, laura; white, robert j; steele, scott j; ossip, deborah; zand, martin s;  university of rochester; https://orcid.org/0000-0003-4540-1169; https://orcid.org/0000-0002-4289-1046;https://orcid.org/0000-0002-6769-1876;  https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",clic un-meeting event guide,2019, unconference,1,1,1,1
159,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019,digital humanities,2,2,2,2
161,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019, methodology,1,1,1,1
162,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019, multispectral imaging,1,1,1,1
163,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019, manuscripts,1,1,1,1
164,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019, medieval,1,1,1,1
165,humanities commons,Social Science,"davies, helen",recovery and loss: (multispectral) imaging and image rights,2019, fast,3,1,3,1
170,university of oxford,general,university of oxford,university of rochester,2022,digital humanities,2,2,2,2
171,zenodo,general,"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,supergene,1,1,1,1
172,zenodo,general,"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, meiotic drive,1,1,1,1
173,zenodo,general,"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, population genomics,1,1,1,1
174,zenodo,general,"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, epistatic selection,1,1,1,1
175,zenodo,general,"navarro-dominguez, beatriz; chang, ching-ho; brand, cara; muirhead, christina; presgraves, daven; larracuente, amanda; university of rochester; https://orcid.org/0000-0001-9361-1190; https://orcid.org/0000-0002-3559-1790;, https://orcid.org/0000-0003-4337-4072; https://orcid.org/0000-0001-5944-5686","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, chromosomal inversions,1,1,1,1
177,zenodo,general,"ruiz, raquel; schwartz, ann; lackey, russell; long, teresa; dozier, ann; ossip, deborah; zand, martin s.; university of rochester; https://orcid.org/0000-0003-2275-0059;  https://orcid.org/0000-0002-3223-4405; https://orcid.org/0000-0001-5641-9810; https://orcid.org/0000-0001-8853-2164; https://orcid.org/0000-0001-8296-1910; https://orcid.org/0000-0003-2918-597x; https://orcid.org/0000-0002-7095-8682",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020, common metrics,1,1,1,1
179,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019,brain,1,1,1,1
180,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019, mind,1,1,1,1
181,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019, neuroscience,2,2,2,2
182,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019, history,1,1,1,1
183,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019, technology,1,1,1,1
185,humboldt-universität zu berlin,general,"freeborn, alfred",the history of the brain and mind sciences,2019, geografie und hilfswissenschaften,1,1,1,1
189,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021,  signal processing (eess.sp),1,1,1,1
190,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, machine learning (cs.lg),1,1,1,1
191,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, fos: electrical engineering,1,1,1,1
192,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, electronic engineering,1,1,1,1
193,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, information engineering,1,1,1,1
197,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, fos: computer and information sciences,1,1,1,1
201,arxiv,Math/physics/computerScience,"weiss, matthew l.; frey, nathan c.; samsi, siddharth; paffenroth, randy c.; gadepally, vijay ",the pseudo projection operator: applications of deep learning to projection based filtering in non-trivial frequency regimes,2021, fields of science and technology (fos),20,12,20,2
207,zenodo,general,"li, bochen; yuxuan wang; duan, zhiyao; university of rochester;, https://orcid.org/0000-0002-8304-6973; https://orcid.org/0000-0002-8334-9974",university of rochester audio-visual solo singing performance (ursing) dataset,2022,singing performance,1,1,1,1
208,zenodo,general,"li, bochen; yuxuan wang; duan, zhiyao; university of rochester;, https://orcid.org/0000-0002-8304-6973; https://orcid.org/0000-0002-8334-9974",university of rochester audio-visual solo singing performance (ursing) dataset,2022, music source separation,1,1,1,1
209,zenodo,general,"li, bochen; yuxuan wang; duan, zhiyao; university of rochester;, https://orcid.org/0000-0002-8304-6973; https://orcid.org/0000-0002-8334-9974",university of rochester audio-visual solo singing performance (ursing) dataset,2022, audiovisual scene analysis,1,1,1,1
210,columbia university,general,"lee, jennifer", ulysses kay archive: columbia university rare book and manuscript library,2012,music,1,1,1,1
211,arxiv,Math/physics/computerScience,"brunelli, j. c.; das, a. ",the supersymmetric two boson hierarchies,1994, high energy physics - theory (hep-th),2,2,2,1
212,arxiv,Math/physics/computerScience,"brunelli, j. c.; das, a. ",the supersymmetric two boson hierarchies,1994, fos: physical sciences,15,9,15,1
215,arxiv,Math/physics/computerScience,"brunelli, j. c.; das, a. ",the supersymmetric two boson hierarchies,1994, fields of science and technology (fos),20,12,20,2
218,arxiv,Math/physics/computerScience,"fry, julie; department of physics,astronomy,department of chemistry, university of rochester, ny",winning over future scientists,1999,  physics education (physics.ed-ph),1,1,1,1
219,arxiv,Math/physics/computerScience,"fry, julie; department of physics,astronomy,department of chemistry, university of rochester, ny",winning over future scientists,1999, physics and society (physics.soc-ph),1,1,1,1
220,arxiv,Math/physics/computerScience,"fry, julie; department of physics,astronomy,department of chemistry, university of rochester, ny",winning over future scientists,1999, fos: physical sciences,15,9,15,1
224,arxiv,Math/physics/computerScience,"fry, julie; department of physics,astronomy,department of chemistry, university of rochester, ny",winning over future scientists,1999, fields of science and technology (fos),20,12,20,2
227,arxiv,Math/physics/computerScience,"ferree, t. c.; koltun, d. s.","inelastic nucleon contributions in $(e,e^\\\\prime)$ nuclear response functions",1995, nuclear theory (nucl-th),1,1,1,1
228,arxiv,Math/physics/computerScience,"ferree, t. c.; koltun, d. s.","inelastic nucleon contributions in $(e,e^\\\\prime)$ nuclear response functions",1995, fos: physical sciences,15,9,15,1
231,arxiv,Math/physics/computerScience,"ferree, t. c.; koltun, d. s.","inelastic nucleon contributions in $(e,e^\\\\prime)$ nuclear response functions",1995, fields of science and technology (fos),20,12,20,2
234,arxiv,Math/physics/computerScience,"ahmady, m. r.; chishtie, f. a.; elias, v.; steele, t. g. ",reducing the theoretical uncertainty in extracting |v_{ub}| from the inclusive semileptonic b to u decay rate,2000, high energy physics - phenomenology (hep-ph),4,2,4,1
235,arxiv,Math/physics/computerScience,"ahmady, m. r.; chishtie, f. a.; elias, v.; steele, t. g. ",reducing the theoretical uncertainty in extracting |v_{ub}| from the inclusive semileptonic b to u decay rate,2000, fos: physical sciences,15,9,15,1
238,arxiv,Math/physics/computerScience,"ahmady, m. r.; chishtie, f. a.; elias, v.; steele, t. g. ",reducing the theoretical uncertainty in extracting |v_{ub}| from the inclusive semileptonic b to u decay rate,2000, fields of science and technology (fos),20,12,20,2
241,arxiv,Math/physics/computerScience,"chishtie, f. a.; elias, v.; steele, t. g. ",next-order estimate of higgs to two-gluon rate,2000, high energy physics - phenomenology (hep-ph),4,2,4,1
242,arxiv,Math/physics/computerScience,"chishtie, f. a.; elias, v.; steele, t. g. ",next-order estimate of higgs to two-gluon rate,2000, fos: physical sciences,15,9,15,1
245,arxiv,Math/physics/computerScience,"chishtie, f. a.; elias, v.; steele, t. g. ",next-order estimate of higgs to two-gluon rate,2000, fields of science and technology (fos),20,12,20,2
248,arxiv,Math/physics/computerScience,"cline, james m.; mcgill university",creating matter at the electroweak phase transition,1995,en,1,1,1,1
