,publisher,publisher_categories,keywords,title,publicationYear,author(s),tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
47,university of rochester,general,"library and information studies, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 4610","collaborating for impact: special collections and liaison librarian partnerships. chicago: association of college and research libraries, a division of the american library association, 2016.",2023,lori birrell,1,1,1,1
48,university of rochester,general,"creative arts and writing, language, communication and culture, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, anzsrc fields of research, 36, 47","\\, <i> rbm: journal of rare books, manuscripts, and cultural heritage. </i>vol. 19, issue 2, 2018, pp. 133-153. doi: https://doi.org/10.5860/rbm.19.2.133",2023,ryan prendergast,1,1,1,1
49,university of rochester,general,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,simon szreter,1,1,1,1
50,university of rochester,general,0,revealing the hidden affliction: how much infertility was due to venereal disease in england and wales on the eve of the great war?,2019,kevin schürer,1,1,1,1
51,university of rochester,general,0,(the wrong kind of ) gonorrhea in antiquity,2019,rebecca flemming,1,1,1,1
52,university of rochester,general,0,(the wrong kind of ) gonorrhea in antiquity,2019,  https://orcid.org/0000-0002-7234-0085,1,1,1,1
53,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,susan cardinal,1,1,1,1
54,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,jeff jones,1,1,1,1
55,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,lara nicosia,1,1,1,1
56,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,sarada george,1,1,1,1
57,university of rochester,general,"information and computing sciences, http://www.abs.gov.au/ausstats/abs@.nsf/0/6bb427ab9696c225ca2574180004463e, anzsrc fields of research, 46","""enriching university of rochesters stem collections with resources about and by bipoc scientists""",2023,  https://orcid.org/0000-0003-3281-890x,1,1,1,1
58,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,daniel castillo,1,1,1,1
59,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,pugachev moriana,1,1,1,1
60,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,siddiqui sarah,1,1,1,1
61,university of rochester,general,"education, information and computing sciences",supporting big data research at the university of rochester: an ithaka s+r local report,2023,  https://orcid.org/0000-0003-3406-9818,1,1,1,1
62,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,alois romanowski,1,1,1,1
63,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,christopher kanan,1,1,1,1
64,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,jonathan herington,1,1,1,1
65,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,ryan maciel,1,1,1,1
66,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,heather owen,1,1,1,1
67,university of rochester,general,"information and computing sciences, machine learning, adversarial machine learning, ethical use of new technology",ai art - ethics and data round table,2023,  https://orcid.org/0000-0002-9507-8331,1,1,1,1
68,root,scientific,0,testing results from pathfinder 2k x 2k hgcdte infrared detectors for the near earth object surveyor mission,2023,peter eisenhardt,1,1,1,1
69,wiley,scientific,0,"remembering vic laties (february 2, 1926 - february 3, 2020)",2021,a. charles catania,1,1,1,1
70,perimeter institute,Math/physics/computerScience,0,new perspectives on star formation and protostellar outflows. a talk in 3 acts,2007,frank adam,1,1,1,1
71,humanities commons,Social Science,"art, library science, fast, fast",the alfred stieglitz collection,2019,tracy stuber,1,1,1,1
72,databrary,Social Science,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,elika bergelson,1,1,1,1
73,databrary,Social Science,"lexicon, environmental effects, cognitive development, word learning, language acquisition",seedlings 6 month,2017,  university,2,2,2,2
74,institute of mathematical statistics,Math/physics/computerScience,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,moulinath banerjee,1,1,1,1
75,institute of mathematical statistics,Math/physics/computerScience,"conversation, empirical processes, semiparametric theory, shape-constrained inference, university of washington",a conversation with jon wellner,2018,richard j samworth,1,1,1,1
76,dmphub,general,0,"en-us, defining how neonatal hyperoxia causes pulmonary hypertension in adults",2023,kara goss,1,1,1,1
77,dmphub,general,0,"en-us, defining how neonatal hyperoxia causes pulmonary hypertension in adults",2023,  center,2,2,2,2
78,columbia university,general,"education, neurobiology, scientists, charitable uses, trusts, and foundations--political activity, endowments"," oral history interview with susan hockfield, 2013",2018,: :unav,1,1,1,1
79,zenodo,general,"academic libraries, users (information), design, participation, library services, library administration, library research, ethnography, observation, library facilities, use studies, qualitative research, statistical analysis, user needs (information), health sciences, administrative organization, space utilization, college students, student participation",participatory design in academic libraries: new reports and findings,2014,nancy fried foster,1,1,1,1
80,francia-recensio,Social Science,0,"jeffrey r. watt, the consistory and social discipline in calvin’s geneva, rochester, ny (university of rochester press) 2020",2023,markus m. totzeck,1,1,1,1
81,university of rochester,general,m music,"""richard wagners essays on conducting""",2021,christopher walton,1,1,1,1
83,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,bob yantosca,1,1,1,1
84,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,melissa sulprizio,1,1,1,1
85,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,lizzie lundgren,1,1,1,1
86,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,keller kelvinhb,1,1,1,1
87,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,fritz christoph,1,1,1,1
88,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  thibaud,1,1,1,1
89,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  22degrees,1,1,1,1
90,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,david ridley,1,1,1,1
91,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,liam bindle,1,1,1,1
92,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,sebastian david eastham,1,1,1,1
93,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,haipeng lin michael-s-long,1,1,1,1
94,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,downs tsherwen,1,1,1,1
95,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,fisher will,1,1,1,1
96,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,thackray jenny,1,1,1,1
97,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,holmes colin,1,1,1,1
98,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,ganluo christopher,1,1,1,1
99,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  zhuang,1,1,1,1
100,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  lee,1,1,1,1
101,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  lei,1,1,1,1
102,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  sciences,1,1,1,1
103,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  university,2,2,2,2
104,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  technology,1,1,1,1
105,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,florida state university university of wollongong,1,1,1,1
106,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  asrc,1,1,1,1
107,zenodo,general,0,geoschem/geos-chem: geos-chem 13.1.2,2022,  suny-albany,1,1,1,1
108,zenodo,general,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,kathryn toffolo,1,1,1,1
109,zenodo,general,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,edward freedman,1,1,1,1
111,zenodo,general,"eeg, erp, n400, auditory presentation, dataset, language comprehension, semantic processing, language development, autism spectrum disorder, neuroscience",evoking the n400 event-related potential (erp) component using a publicly available novel set of sentences with semantically incongruent or congruent eggplants (endings),2023,  https://orcid.org/0000-0002-5728-3174,1,1,1,1
112,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,wayne e baldwin,1,1,1,1
113,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,eric moore,1,1,1,1
114,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,  r,1,1,1,1
116,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,carolyn ruppel,1,1,1,1
117,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,  https://orcid.org/0000-0001-5886-0917,1,1,1,1
118,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,  https://orcid.org/0000-0002-2732-2654,1,1,1,1
119,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,  https://orcid.org/0000-0003-4593-4395,1,1,1,1
120,u.s. geological survey,geology/environment,"energy resources, geophysics, marine geology, stratigraphy",marine geophysical data collected to support methane seep research along the u.s. atlantic continental shelf break and upper continental slope between the baltimore and keller canyons during u.s. geological survey field activities 2017-001-fa and 2017-002-fa,2020,  https://orcid.org/0000-0003-2284-6632,1,1,1,1
121,mendeley,general,0,"""coupled dynamical systems model of non-human primates kinematic and neuronal recordings""",2022,raina daleo,1,1,1,1
122,vivli,scientific,conditions: chronic kidney disease,chronic kidney disease in children prospective cohort study (ckid),2022,niddk central,1,1,1,1
123,open science framework,scientific,"educational psychology, education, social and behavioral sciences, psychology, fos: psychology, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022,"capon-sieber, vanda",1,1,1,1
124,open science framework,scientific,"educational psychology, education, social and behavioral sciences, psychology, fos: psychology, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, bepress digital commons three-tiered taxonomy, fields of science and technology (fos), http://www.oecd.org/science/inno/38235147.pdf",motivation and well-being of university students in online courses during social distancing: the role of supporting the satisfaction of the basic need for relatedness,2022, https://orcid.org/0000-0002-3148-0954,1,1,1,1
125,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,"sugarwala, laura",1,1,1,1
126,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019," white, robert j",1,1,1,1
127,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019," steele, scott j",1,1,1,1
128,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019," ossip, deborah",2,2,2,1
129,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019," zand, martin s",1,1,1,1
131,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019, https://orcid.org/0000-0003-4540-1169,1,1,1,1
132,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019, https://orcid.org/0000-0002-4289-1046,1,1,1,1
133,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,https://orcid.org/0000-0002-6769-1876,1,1,1,1
134,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019,  https://orcid.org/0000-0003-2918-597x,1,1,1,1
135,zenodo,general,"ctsa, un-meeting, event guide, team science, clic, un-conference, unmeeting, unconference",clic un-meeting event guide,2019, https://orcid.org/0000-0002-7095-8682,2,2,2,1
136,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,cogsci 2022,1,1,1,1
137,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022, ruby zeng ,1,1,1,1
138,underline science inc.,scientific,0,ft24.3 - using a language transformer model to capture creativity in improvised narratives,2022,qingzhi,1,1,1,1
139,humanities commons,Social Science,"digital humanities, research, methodology, multispectral imaging, manuscripts, medieval, fast, fast, fast, fast, fast",recovery and loss: (multispectral) imaging and image rights,2019,"davies, helen",1,1,1,1
140,university of oxford,general,digital humanities,university of rochester,2022,university of oxford,1,1,1,1
141,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,"navarro-dominguez, beatriz",1,1,1,1
142,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022," chang, ching-ho",1,1,1,1
143,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022," brand, cara",1,1,1,1
144,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022," muirhead, christina",1,1,1,1
145,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022," presgraves, daven",1,1,1,1
146,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022," larracuente, amanda",1,1,1,1
148,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, https://orcid.org/0000-0001-9361-1190,1,1,1,1
149,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, https://orcid.org/0000-0002-3559-1790,1,1,1,1
150,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022,", https://orcid.org/0000-0003-4337-4072",1,1,1,1
151,zenodo,general,"supergene, meiotic drive, population genomics, epistatic selection, chromosomal inversions","epistatic selection on a selfish segregation distorter supergene: drive, recombination, and genetic load",2022, https://orcid.org/0000-0001-5944-5686,1,1,1,1
152,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020,"ruiz, raquel",1,1,1,1
153,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020," schwartz, ann",1,1,1,1
154,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020," lackey, russell",1,1,1,1
155,zenodo,general,"ctsa, common metrics",from insights to action: enriching the clinical research workforce by developing diverse and inclusive career programs,2020," long, teresa",1,1,1,1
